#HEADER
#TITLES
,,Axial Displacement,Axial Load
#UNITS
,,mm,N
#DATATYPES
Huge,Double,Float,Float
#DATA
1,0.00000,9.16E-4,8.396
2,0.00488,9.16E-4,8.396
3,0.00977,9.16E-4,8.396
4,0.01465,9.16E-4,8.396
5,0.01953,9.16E-4,8.396
6,0.02441,9.16E-4,8.396
7,0.02930,9.16E-4,8.396
8,0.03418,9.16E-4,8.396
9,0.03906,9.16E-4,8.396
10,0.04395,9.16E-4,8.396
11,0.04883,9.16E-4,8.396
12,0.05371,9.16E-4,8.396
13,0.05859,9.16E-4,8.396
14,0.06348,9.16E-4,8.396
15,0.06836,9.16E-4,8.396
16,0.07324,9.16E-4,8.396
17,0.07813,9.16E-4,8.396
18,0.08301,9.16E-4,8.396
19,0.08789,9.16E-4,8.396
20,0.09277,9.16E-4,8.396
21,0.09766,9.16E-4,8.396
22,0.10254,9.16E-4,8.396
23,0.10742,9.16E-4,8.396
24,0.11230,9.16E-4,8.396
25,0.11719,9.16E-4,8.396
26,0.12207,9.16E-4,8.396
27,0.12695,9.16E-4,8.396
28,0.13184,9.16E-4,8.396
29,0.13672,9.16E-4,8.396
30,0.14160,9.16E-4,8.396
31,0.14648,9.16E-4,8.396
32,0.15137,9.16E-4,8.396
33,0.15625,9.16E-4,8.396
34,0.16113,9.16E-4,8.396
35,0.16602,9.16E-4,8.396
36,0.17090,9.16E-4,8.396
37,0.17578,9.16E-4,7.633
38,0.18066,9.16E-4,8.396
39,0.18555,9.16E-4,8.396
40,0.19043,9.16E-4,8.396
41,0.19531,9.16E-4,8.396
42,0.20020,9.16E-4,8.396
43,0.20508,9.16E-4,8.396
44,0.20996,9.16E-4,8.396
45,0.21484,9.16E-4,7.633
46,0.21973,9.16E-4,8.396
47,0.22461,9.16E-4,8.396
48,0.22949,9.16E-4,8.396
49,0.23438,9.16E-4,8.396
50,0.23926,9.16E-4,8.396
51,0.24414,9.16E-4,8.396
52,0.24902,9.16E-4,8.396
53,0.25391,9.16E-4,8.396
54,0.25879,9.16E-4,8.396
55,0.26367,9.16E-4,8.396
56,0.26855,9.16E-4,8.396
57,0.27344,9.16E-4,8.396
58,0.27832,9.16E-4,8.396
59,0.28320,9.16E-4,8.396
60,0.28809,9.16E-4,8.396
61,0.29297,9.16E-4,8.396
62,0.29785,9.16E-4,8.396
63,0.30273,9.16E-4,8.396
64,0.30762,9.16E-4,8.396
65,0.31250,9.16E-4,8.396
66,0.31738,9.16E-4,8.396
67,0.32227,9.16E-4,8.396
68,0.32715,9.16E-4,8.396
69,0.33203,9.16E-4,8.396
70,0.33691,9.16E-4,8.396
71,0.34180,9.16E-4,8.396
72,0.34668,9.16E-4,8.396
73,0.35156,9.16E-4,8.396
74,0.35645,9.16E-4,8.396
75,0.36133,9.16E-4,8.396
76,0.36621,9.16E-4,8.396
77,0.37109,9.16E-4,8.396
78,0.37598,9.16E-4,8.396
79,0.38086,9.16E-4,8.396
80,0.38574,9.16E-4,8.396
81,0.39063,9.16E-4,8.396
82,0.39551,9.16E-4,8.396
83,0.40039,9.16E-4,8.396
84,0.40527,9.16E-4,8.396
85,0.41016,9.16E-4,8.396
86,0.41504,0.001832,8.396
87,0.41992,9.16E-4,8.396
88,0.42480,9.16E-4,8.396
89,0.42969,9.16E-4,8.396
90,0.43457,9.16E-4,8.396
91,0.43945,9.16E-4,8.396
92,0.44434,9.16E-4,8.396
93,0.44922,9.16E-4,8.396
94,0.45410,9.16E-4,8.396
95,0.45898,9.16E-4,8.396
96,0.46387,9.16E-4,8.396
97,0.46875,9.16E-4,8.396
98,0.47363,9.16E-4,8.396
99,0.47852,9.16E-4,8.396
100,0.48340,9.16E-4,8.396
101,0.48828,9.16E-4,8.396
102,0.49316,9.16E-4,8.396
103,0.49805,9.16E-4,8.396
104,0.50293,9.16E-4,8.396
105,0.50781,9.16E-4,8.396
106,0.51270,9.16E-4,8.396
107,0.51758,9.16E-4,8.396
108,0.52246,9.16E-4,8.396
109,0.52734,9.16E-4,8.396
110,0.53223,9.16E-4,8.396
111,0.53711,9.16E-4,8.396
112,0.54199,9.16E-4,8.396
113,0.54688,9.16E-4,8.396
114,0.55176,9.16E-4,8.396
115,0.55664,9.16E-4,8.396
116,0.56152,9.16E-4,8.396
117,0.56641,9.16E-4,8.396
118,0.57129,9.16E-4,8.396
119,0.57617,9.16E-4,8.396
120,0.58105,9.16E-4,8.396
121,0.58594,9.16E-4,8.396
122,0.59082,9.16E-4,8.396
123,0.59570,9.16E-4,8.396
124,0.60059,9.16E-4,8.396
125,0.60547,9.16E-4,8.396
126,0.61035,9.16E-4,8.396
127,0.61523,9.16E-4,8.396
128,0.62012,9.16E-4,8.396
129,0.62500,9.16E-4,8.396
130,0.62988,9.16E-4,7.633
131,0.63477,9.16E-4,7.633
132,0.63965,9.16E-4,8.396
133,0.64453,9.16E-4,8.396
134,0.64941,9.16E-4,7.633
135,0.65430,9.16E-4,8.396
136,0.65918,9.16E-4,8.396
137,0.66406,9.16E-4,8.396
138,0.66895,9.16E-4,8.396
139,0.67383,9.16E-4,8.396
140,0.67871,9.16E-4,8.396
141,0.68359,9.16E-4,8.396
142,0.68848,9.16E-4,8.396
143,0.69336,9.16E-4,8.396
144,0.69824,9.16E-4,8.396
145,0.70313,9.16E-4,7.633
146,0.70801,9.16E-4,7.633
147,0.71289,9.16E-4,7.633
148,0.71777,9.16E-4,7.633
149,0.72266,9.16E-4,7.633
150,0.72754,9.16E-4,8.396
151,0.73242,9.16E-4,7.633
152,0.73730,9.16E-4,7.633
153,0.74219,9.16E-4,8.396
154,0.74707,9.16E-4,8.396
155,0.75195,9.16E-4,7.633
156,0.75684,9.16E-4,7.633
157,0.76172,9.16E-4,8.396
158,0.76660,9.16E-4,7.633
159,0.77148,9.16E-4,7.633
160,0.77637,9.16E-4,7.633
161,0.78125,9.16E-4,8.396
162,0.78613,9.16E-4,7.633
163,0.79102,9.16E-4,7.633
164,0.79590,9.16E-4,7.633
165,0.80078,9.16E-4,7.633
166,0.80566,9.16E-4,8.396
167,0.81055,9.16E-4,7.633
168,0.81543,9.16E-4,7.633
169,0.82031,9.16E-4,7.633
170,0.82520,9.16E-4,7.633
171,0.83008,9.16E-4,7.633
172,0.83496,9.16E-4,8.396
173,0.83984,9.16E-4,7.633
174,0.84473,9.16E-4,7.633
175,0.84961,9.16E-4,7.633
176,0.85449,9.16E-4,7.633
177,0.85938,9.16E-4,7.633
178,0.86426,9.16E-4,7.633
179,0.86914,9.16E-4,8.396
180,0.87402,9.16E-4,8.396
181,0.87891,9.16E-4,7.633
182,0.88379,9.16E-4,8.396
183,0.88867,9.16E-4,8.396
184,0.89355,9.16E-4,7.633
185,0.89844,9.16E-4,8.396
186,0.90332,9.16E-4,7.633
187,0.90820,9.16E-4,7.633
188,0.91309,9.16E-4,7.633
189,0.91797,9.16E-4,7.633
190,0.92285,9.16E-4,7.633
191,0.92773,9.16E-4,7.633
192,0.93262,9.16E-4,7.633
193,0.93750,9.16E-4,8.396
194,0.94238,9.16E-4,7.633
195,0.94727,9.16E-4,7.633
196,0.95215,9.16E-4,8.396
197,0.95703,9.16E-4,8.396
198,0.96191,9.16E-4,7.633
199,0.96680,9.16E-4,7.633
200,0.97168,9.16E-4,8.396
201,0.97656,9.16E-4,7.633
202,0.98145,9.16E-4,7.633
203,0.98633,9.16E-4,7.633
204,0.99121,9.16E-4,7.633
205,0.99609,9.16E-4,7.633
206,1.00098,9.16E-4,7.633
207,1.00586,9.16E-4,7.633
208,1.01074,9.16E-4,7.633
209,1.01563,9.16E-4,7.633
210,1.02051,9.16E-4,7.633
211,1.02539,9.16E-4,7.633
212,1.03027,9.16E-4,7.633
213,1.03516,9.16E-4,7.633
214,1.04004,9.16E-4,7.633
215,1.04492,9.16E-4,7.633
216,1.04980,9.16E-4,7.633
217,1.05469,9.16E-4,7.633
218,1.05957,9.16E-4,7.633
219,1.06445,9.16E-4,7.633
220,1.06934,9.16E-4,7.633
221,1.07422,9.16E-4,7.633
222,1.07910,9.16E-4,7.633
223,1.08398,9.16E-4,7.633
224,1.08887,9.16E-4,7.633
225,1.09375,9.16E-4,7.633
226,1.09863,9.16E-4,7.633
227,1.10352,9.16E-4,7.633
228,1.10840,9.16E-4,7.633
229,1.11328,9.16E-4,7.633
230,1.11816,9.16E-4,7.633
231,1.12305,9.16E-4,7.633
232,1.12793,9.16E-4,7.633
233,1.13281,9.16E-4,7.633
234,1.13770,9.16E-4,7.633
235,1.14258,9.16E-4,7.633
236,1.14746,9.16E-4,7.633
237,1.15234,9.16E-4,7.633
238,1.15723,9.16E-4,7.633
239,1.16211,9.16E-4,7.633
240,1.16699,9.16E-4,7.633
241,1.17188,9.16E-4,7.633
242,1.17676,9.16E-4,7.633
243,1.18164,9.16E-4,7.633
244,1.18652,9.16E-4,8.396
245,1.19141,9.16E-4,7.633
246,1.19629,9.16E-4,7.633
247,1.20117,9.16E-4,8.396
248,1.20605,9.16E-4,7.633
249,1.21094,9.16E-4,7.633
250,1.21582,9.16E-4,7.633
251,1.22070,9.16E-4,7.633
252,1.22559,9.16E-4,7.633
253,1.23047,9.16E-4,7.633
254,1.23535,9.16E-4,7.633
255,1.24023,9.16E-4,7.633
256,1.24512,9.16E-4,8.396
257,1.25000,9.16E-4,7.633
258,1.25488,9.16E-4,7.633
259,1.25977,9.16E-4,8.396
260,1.26465,9.16E-4,7.633
261,1.26953,9.16E-4,8.396
262,1.27441,9.16E-4,8.396
263,1.27930,9.16E-4,8.396
264,1.28418,9.16E-4,7.633
265,1.28906,9.16E-4,7.633
266,1.29395,9.16E-4,7.633
267,1.29883,9.16E-4,7.633
268,1.30371,9.16E-4,7.633
269,1.30859,9.16E-4,7.633
270,1.31348,9.16E-4,8.396
271,1.31836,9.16E-4,7.633
272,1.32324,9.16E-4,7.633
273,1.32813,9.16E-4,7.633
274,1.33301,9.16E-4,8.396
275,1.33789,9.16E-4,7.633
276,1.34277,9.16E-4,7.633
277,1.34766,9.16E-4,8.396
278,1.35254,9.16E-4,7.633
279,1.35742,9.16E-4,7.633
280,1.36230,9.16E-4,7.633
281,1.36719,9.16E-4,7.633
282,1.37207,9.16E-4,7.633
283,1.37695,9.16E-4,7.633
284,1.38184,9.16E-4,7.633
285,1.38672,9.16E-4,7.633
286,1.39160,9.16E-4,7.633
287,1.39648,9.16E-4,7.633
288,1.40137,9.16E-4,7.633
289,1.40625,9.16E-4,7.633
290,1.41113,9.16E-4,7.633
291,1.41602,9.16E-4,7.633
292,1.42090,9.16E-4,7.633
293,1.42578,9.16E-4,7.633
294,1.43066,9.16E-4,7.633
295,1.43555,9.16E-4,7.633
296,1.44043,9.16E-4,7.633
297,1.44531,9.16E-4,7.633
298,1.45020,9.16E-4,7.633
299,1.45508,9.16E-4,7.633
300,1.45996,9.16E-4,7.633
301,1.46484,9.16E-4,7.633
302,1.46973,9.16E-4,7.633
303,1.47461,9.16E-4,7.633
304,1.47949,9.16E-4,7.633
305,1.48438,9.16E-4,7.633
306,1.48926,9.16E-4,7.633
307,1.49414,9.16E-4,7.633
308,1.49902,9.16E-4,7.633
309,1.50391,9.16E-4,7.633
310,1.50879,9.16E-4,7.633
311,1.51367,9.16E-4,7.633
312,1.51855,9.16E-4,7.633
313,1.52344,9.16E-4,7.633
314,1.52832,9.16E-4,7.633
315,1.53320,9.16E-4,7.633
316,1.53809,9.16E-4,7.633
317,1.54297,9.16E-4,7.633
318,1.54785,9.16E-4,7.633
319,1.55273,9.16E-4,7.633
320,1.55762,9.16E-4,7.633
321,1.56250,9.16E-4,7.633
322,1.56738,9.16E-4,7.633
323,1.57227,9.16E-4,7.633
324,1.57715,9.16E-4,7.633
325,1.58203,9.16E-4,7.633
326,1.58691,9.16E-4,7.633
327,1.59180,9.16E-4,7.633
328,1.59668,9.16E-4,7.633
329,1.60156,9.16E-4,7.633
330,1.60645,9.16E-4,7.633
331,1.61133,9.16E-4,7.633
332,1.61621,9.16E-4,7.633
333,1.62109,9.16E-4,7.633
334,1.62598,9.16E-4,7.633
335,1.63086,9.16E-4,7.633
336,1.63574,9.16E-4,7.633
337,1.64063,9.16E-4,7.633
338,1.64551,9.16E-4,7.633
339,1.65039,9.16E-4,7.633
340,1.65527,9.16E-4,7.633
341,1.66016,9.16E-4,7.633
342,1.66504,9.16E-4,7.633
343,1.66992,9.16E-4,7.633
344,1.67480,9.16E-4,7.633
